Q,A
거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 나에게 창문 동생 약국 호박 자연 고을 토끼 해서 노래 신발 딸기 나무 참새 절교 우선 학교 장갑 그린 아들 팥죽 동생 목표 냄새 바다 자연 접시 콘도 광석 느낌 ,거울 연필 그림 신발 병원 그림
책상 위에 가방이 있습니다 가방의 사탄과 연필을 넣을 거예요 아빠와 자동차를 타고 동물원에 갑니다 잘 다녀와 하면서 엄마가 뽀뽀를 해 줍니다 호랑이가 꼬리를 늘어뜨리고 있습니다 그림은 못 두부에 걸려 있습니다 괴물과 싸움을 합니다 참새 세 마리가 쩍쩍 거리고 나무 아래 불 밝히는 메뚜기가 있습니다 전화를 합니다 엄마 동물원 재미있어요 ,책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동+ 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬+ 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 풀밭에는 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
밥 먹었어 밥 먹었어 집에 아무도 없겠지 하면서 거기 갈래 관리가 없지 내가 없지 당화 왔었어 ,밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애?
나는 바지를 입고 단순한 체험이다 책장 위에 가방이 있습니다 가방에 잤던 거 연비는 넣을 거예요 아빠와 자동차를 타고 동물원에 갑니다 잘 다녀와 화면 전 아빠가 토끼 풍선을 잡아 줍니다 싸움을 합니다 세 마리가 짹짹 거리고 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리가 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 풀밭에는 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
 금요일," 토요일입니다. 설날은 구월 이십일일입니다. 크리스마스는 십이월 이십오일입니다. 지금 계절은 가을입니다. 어제는 날씨가 흐리했고 오늘 날씨는 흐렸다. 일 년은 삼백육십오일이고 일 주일은 칠일입니다. 하루는 이십시간이고 일 분은 이십초입니다."""
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려 여기나요 여기도 와요 나비가 날아요 나비가 날아요 엄마가 노래해 엄마가 노래해 머리 말려요 머리 말려요 집에 아무도 없겠지 발이 얼었어요 발이 얼었어요 길이 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 전화 왔었어요 전화 왔었어요 여기까지 걸어왔어요 여기까지 걸어왔어요 방이 추운 거 같아 방이 추운 것 같아 날씨가 추워요 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
해 배 왕 왕 달 뼈 혀 병 밤 활 감 텔 꽃 점 솥 섬 흠 6은 흑 찬 춤 쿡 꿈 푹 칼 김 야 덕 조은 배웅 아 오 예 ,새 해 배 개 집 일 입 이 꿀 불 귤 물 피 쥐 비 귀 콩 돈 공 손 풀 붓 뿔 윷 잎 씨 빗 침 벌 성 별 형 초 눈 코 문 햄 잼 뱀 책 실 십 칠 김 종 총 용 똥 털 몸 절 톱 강 발 왕 달 뼈 영 혀 병 밤 활 감 탈 꽃 점 솥 섬 금 육 은 흙 산 파 삼 차 춤 국 꿈 북 칼 말 쌀 팔 떡 컵 턱 껌 방 빵 창 양 오 곰 소 돌 약 탑 닭 밥 귀 남 해 밀 옷 잔 댁 겁 시 병 소 점 키 앞 무 논 자 글 용 겉 다 뜰 피 상 네 벌 추 만 죄 일 구 삼 도 알 꽃 연 달 혀 녹 김 약 덕 조 군 잎 폐 꿈 터 샘 능 아 애 어 에 오 우 으 이 야 얘 여 예 와 왜 외 요 워 웨 위 유 의 가 까 나 다 따 라 마 바 빠 사 싸 자 짜 차 카 타 파 하
거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 욕심 노래 저녁 사람 토끼 병원 등대 논밭 과일 송고 딸기 문제 나무 극장 가위 그림 아들 주 동생 목표 냄새 바다 자연 ,거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 신발 딸기 나무 참새 달걀 우산 학교 장갑 그림 풍선 전화 병원 과일 땅콩 편지 달걀 시간 육군 신발 땅콩 안개 마음 허리 욕심 노래 저녁 사람 토끼 병원 등대 논밭 과일 송곳 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 목표 냄새 바다 자연 접시 권투 방석 느낌
나는 바지를 입고 단추를 채웁니다 책상 위에 가방이 있습니다 가방에 사탕과 연필을 넣을 거예요 아빠와 자동차를 타고 동물원에 갑니다 잘 다녀와 하면서 엄마가 뽀뽀를 해 줍니다 동물원에는 동그라미가 꼬리를 늘어뜨리고 있습니다 나는 코끼리에게 땅콩을 줍니다 코끼리는 귀가 아주 큽니다 나는 동물원 놀이터에서 그네를 탑니다 아빠가 토끼 풍선은 사 왔습니다 로봇 그리워만 구경합니다 그림은 뭐 두 개 걸려 있습니다 로봇은 긴 눈썹 괴물과 싸움을 합니다 업무에는 참새 세 마리가 찍찍 거리고 나무 아래 베푸는 밭에는 메뚜기가 있습니다 엄마에게 전화를 합니다 엄마 돈으로 재미있어요 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게+게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림음+을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 물+풀밭에는 메뚜기가 있습니다.
제 나이는 78 살입니다 태어난 곳은 나주시 주로 사는 곳은 광주광역시입니다 출생지인 나주시에서 14까지 살았습니다 어머니도 나주 지역 출신입니다 제 위로는 언니 한 명 오빠 두 명이고 아래로는 남동생 하나입니다 있는데 걸어서 10분 거리입니다 나는 보통 아침 7시에 일어나고 밤 12시에 잡니다 개가 가장 좋아하는 음식은 김치입니다 제 취미는 음악입니다 무지개 일곱 색깔은 빨강 주황색 노란색 초록색 파란색 남색 보라색입니다 월요일 화요일 수요일 목요일 금요일 토요일 일요일입니다 ,제 나이는 칠십팔살 입니다. 저는 양띠 입니다. 제가 태어난 곳은 나주시이고 주로 산 곳은 광주광역시 입니다. 출생지인 나주시에서 열네살까지 살았습니다. 아버지는 나주지역 출신이시고 어머니도 나주지역 출신입니다. 제 위로는 언니 한명 오빠 두명 이고 아래로는 남동생 하나 입니다. 니가 쓴대로 안했다. 가족과 주로 하는 이야기는 교회에 대한 것 입니다. 친구와 주로 하는 이야기는 교회에 대한 것입니다. 저는 평소에 주로 택시를 타고 다닙니다. 우리 동네는 교통이 편리합니다 교통이 편리한 이유는 아파트 때문입니다. 우리집에서 광교에 가려면 택시를 타고 가야 합니다. 우리집 근처에 엔마트가 있는데 걸어서 십분 거리 입니다. 나는 보통 아침 일곱시에 일어나고 밤 열두시에 잡니다. 제가 가장 좋아하는 음식은 김치 입니다. 제 취미는 음악입니다. 무지개 일곱색깔은 빨강 주황색 노란색 초록색 파란색 남색 보라색 입니다. 일주일은 월요일 화요일 수요일 목요일 금요일 토요일 일요일 입니다. 설날은 일월 일일 입니다. 크리스마스는 십이월 이십오일입니다. 지금 계절은 가을 입니다. 어제는 날씨가 맑았고 오늘 날씨는 흐립니다. 일년은 삼백육십오일이고 일주일은 칠일입니다. 하루는 스물네시간이고 일분은 육십초 입니다.
